# xc7z030sbg485-1; native synth_xilinx -abc9; ps excluding launch FF clock-to-Q
# op width cases cell_ps routed_ps; held-out widths excluded
nor 1024 32 159 1769
not 4 2 53 515
not 8 2 53 521
not 16 2 157 613
not 32 2 155 617
not 64 2 53 515
one_hot_lsb 1 2 0 442
one_hot_lsb 8 2 106 1028
one_hot_lsb 32 2 673 2340
one_hot_lsb 64 2 526 3485
one_hot_msb 1 2 0 442
one_hot_msb 8 2 211 1129
one_hot_msb 32 2 273 2089
one_hot_msb 64 2 261 2399
one_hot_sel 1 1 53 497
one_hot_sel 8 1 53 676
one_hot_sel 64 1 158 967
one_hot_sel 256 1 53 1302
one_hot_sel 1024 1 53 1618
one_hot_sel 1 2 53 656
one_hot_sel 4 2 153 668
one_hot_sel 8 2 153 789
one_hot_sel 16 2 153 890
one_hot_sel 32 2 153 935
one_hot_sel 64 2 53 1492
one_hot_sel 256 2 53 1356
one_hot_sel 1024 2 53 1769
one_hot_sel 1 4 106 928
one_hot_sel 4 4 342 1417
one_hot_sel 8 4 106 1243
one_hot_sel 16 4 226 1346
one_hot_sel 32 4 153 1875
one_hot_sel 64 4 53 2095
one_hot_sel 256 4 53 3792
one_hot_sel 1024 4 158 4266
one_hot_sel 1 8 159 1195
one_hot_sel 4 8 211 1462
one_hot_sel 8 8 106 1764
one_hot_sel 16 8 334 2039
one_hot_sel 32 8 106 2158
one_hot_sel 64 8 106 2133
one_hot_sel 256 8 106 2790
one_hot_sel 1024 8 53 3827
one_hot_sel 1 16 159 1652
one_hot_sel 8 16 287 2016
one_hot_sel 64 16 211 2742
one_hot_sel 256 16 211 3622
one_hot_sel 1024 16 106 3918
one_hot_sel 1 32 263 1759
one_hot_sel 8 32 339 2404
one_hot_sel 64 32 290 3158
one_hot_sel 256 32 159 3564
one_hot_sel 1024 32 106 4271
or 1 2 53 497
or 4 2 157 616
or 8 2 153 601
or 16 2 157 616
or 32 2 157 616
or 64 2 157 616
or 1024 2 53 656
or 1 4 53 554
or 8 4 53 656
or 64 4 53 660
or 1024 4 53 696
or 1 8 106 1046
or 8 8 106 1229
or 64 8 206 1370
or 1024 8 211 1483
or 1 16 159 1335
or 8 16 259 1749
or 64 16 159 1771
or 1024 16 264 1952
or 1 32 206 1532
or 8 32 264 1695
or 64 32 159 1787
or 1024 32 259 1971
or_reduce 4 2 53 554
or_reduce 8 2 106 1151
or_reduce 16 2 159 1441
or_reduce 32 2 159 1530
or_reduce 64 2 264 1994
priority_sel 1 1 53 554
priority_sel 8 1 157 742
priority_sel 64 1 53 941
priority_sel 256 1 53 1299
priority_sel 1024 1 53 1527
priority_sel 1 2 53 656
priority_sel 4 2 53 671
priority_sel 8 2 53 760
priority_sel 16 2 53 809
priority_sel 32 2 153 1129
priority_sel 64 2 53 1177
priority_sel 256 2 53 1419
priority_sel 1024 2 153 1746
priority_sel 1 4 106 1072
priority_sel 4 4 106 1277
priority_sel 8 4 106 1432
priority_sel 16 4 106 1611
priority_sel 32 4 53 2143
priority_sel 64 4 53 2194
priority_sel 256 4 53 2706
priority_sel 1024 4 53 3414
priority_sel 1 8 386 1755
priority_sel 4 8 288 2036
priority_sel 8 8 339 2346
priority_sel 16 8 290 2422
priority_sel 32 8 284 2909
priority_sel 64 8 106 3082
priority_sel 256 8 106 3562
priority_sel 1024 8 159 3729
priority_sel 1 16 212 2019
priority_sel 8 16 339 3049
priority_sel 64 16 212 3863
priority_sel 256 16 312 4245
priority_sel 1024 16 212 4370
priority_sel 1 32 339 2576
priority_sel 8 32 445 3703
priority_sel 64 32 445 4179
priority_sel 256 32 265 4231
priority_sel 1024 32 265 5018
sel 1 2 53 516
sel 4 2 53 653
sel 8 2 158 781
sel 16 2 53 788
sel 32 2 153 930
sel 64 2 153 1042
sel 256 2 53 1237
sel 1024 2 53 1582
sel 1 4 53 730
sel 4 4 153 842
sel 8 4 53 797
sel 16 4 158 878
sel 32 4 53 1089
sel 64 4 53 1305
sel 256 4 53 1445
sel 1024 4 53 1910
sel 1 8 484 1501
sel 4 8 482 1889
sel 8 8 506 1878
sel 16 8 382 2311
sel 32 8 407 2629
sel 64 8 482 2845
sel 256 8 386 3421
sel 1024 8 386 4368
sel 1 16 332 1944
sel 8 16 446 2828
sel 64 16 451 3682
sel 256 16 371 3917
sel 1024 16 599 4529
sel 1 32 736 3754
sel 8 32 728 4368
sel 64 32 1154 6038
sel 256 32 1567 6920
sel 1024 32 1573 7862
sel_d1 1 1 53 554
sel_d1 64 1 153 1042
sel_d1 1024 1 53 1582
sel_d16 1 1 159 1366
sel_d16 64 1 259 2168
sel_d16 1024 1 159 2386
